report_group_id,vendor,period,primary_file_count,supporting_file_count,source_format,currency,source_line_count,declared_total,computed_total,posting_total,validation,automation_state,authoritative_amount_rule,parser_family,material_issue,recommended_action
control_mapping,Control files,current supplied version,1,,xlsx,,,,,,reviewed_with_corrections,reference_only,business instructions only,xlsx_control_mapping,Some rules conflict with source evidence and historical postings.,"Keep as policy input, not as executable truth."
historical_airtable,Control files,historical through June 2026,1,,xlsx,,19076 posting rows,,,,reviewed,reference_only,historical posting behavior and canonical names,xlsx_historical_output,Ten fields are insufficient as the system record.,Use as export target and test oracle only.
column_glossary,Control files,supplied CSV,1,,csv,,,,,,reviewed_with_cautions,reference_only,none,csv_glossary,Contains incomplete and outdated conclusions.,Use after source files and historical data.
1979_q1_2026,1979 Media (Dorcel),2026 Q1,1,,xlsx,EUR,7572 title rows plus adjustments,20698.68268,20698.68268,20698.68 across studio postings,passed,ready_with_review,TOTAL H.T. plus studio detail from Reversement distributeur,xlsx_1979_dorcel,"Worksheet name says January to February, while the period cell says January to March.",Use the period cell and keep the Q4 2025 delta as a separate adjustment.
aerona_apr_2026,AERONA LLC,2026-04,1,4,xlsx,USD,6390 rollup title rows,81318.52240,81318.52240,81318.52 across studio postings,passed,ready,rollup Total column,xlsx_aerona_rollup,Raw files omit 570.6537 USD of Unlimited revenue in the four sampled platforms.,Use the rollup. Keep raw files only for store detail and audit evidence.
amg_apr_2026,All Media Group (AMG),2026-04,1,,xlsx,USD,12,4219.545,4219.545,"568.2375 automated, remaining highlighted rows manual",review_required,review_gate,Payout on nonhighlighted revenue share rows,xlsx_amg_mixed,The workbook total includes yellow flat fee rows marked for manual handling.,Split automated revenue share and manual flat fee queues.
av_apr_2026,AV Entertainment/Optical Xtreme,2026-04,1,,xlsx,USD,,907.45,907.445,907.45,passed_with_rounding,ready,header 35 percent royalty,xlsx_av_royalty_header,"Line Total is gross, not payable.",Apply 35 percent and reconcile to the header.
dream_q1_2026,Dream Logistics BV,2026 Q1,1,,pdf,USD,4,1417.50,1417.50,1417.50 across four studio postings,passed,ready_with_review,invoice subtotal minus adjustments,pdf_invoice_lines,,Parse four invoice lines and validate subtotal.
dusk_apr_2026,Dusk TV / 2GrapesMedia B.V.,2026-04,1,1,xlsx plus pdf,EUR,63,173.11,173.109184259211754,173.11,passed_with_rounding,ready,footer payout total,xlsx_dusk_playlist,Top and bottom summary rows duplicate the same values.,"Use title rows only, then validate against the footer and PDF."
erigo_feb_2026,Erigo / Load,2026-02,1,,pdf,USD,2,461.85,461.85,461.85,warning,review_gate,TOTAL USD PAYMENT,pdf_payment_narrative,One line has a malformed GBP label.,Parse named totals and require currency review.
