workspace_path,file_name,vendor_id,vendor,period_hint,parser_family,processing_role,authoritative,expected_status,manifest_notes,sha256,report_id,report_status,validation_status,posting_id,posting_status,output_customer,output_studio,output_amount,output_currency,output_memo,output_invoice_date,output_due_date,output_vertical,comparison_status,match_score,matched_airtable_row,matched_customer,matched_studio,matched_amount,matched_memo,matched_invoice_date,matched_due_date,matched_vertical,amount_diff,candidate_count,weak_amount_only_row,weak_amount_only_customer,weak_amount_only_studio,weak_amount_only_memo,closest_amount,closest_amount_diff,closest_customer,closest_studio,closest_memo,notes
Accounting Project\Sample Reports\1979 Media (Dorcel) - LIcensing - Emailed\RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,1979_media,1979 Media (Dorcel),,xlsx_1979_dorcel,primary_source,yes,reviewed,Use the actual period label in the workbook. The worksheet name understates the period.,081b767da937df37fdbd232a12f712c8cfc6641a54fd068bd4c2a4ec92bb0b05,1979_media_releve_vod_2026_q1_new_media_group_081b767d,ready,passed,1979_media_releve_vod_2026_q1_new_media_group_081b767d_posting_1,ready,1979 Media (Dorcel),Charged Media LLC,1624.25,EUR,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,exact_row_match,120,17944,1979 Media (Dorcel),Charged Media LLC,1624.25,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,0.000000,26,17944,1979 Media (Dorcel),Charged Media LLC,Various titles Q1 2026,1624.25,0.000000,1979 Media (Dorcel),Charged Media LLC,Various titles Q1 2026,"Parser row matches Airtable row by amount, customer, studio, vertical, and period."
Accounting Project\Sample Reports\1979 Media (Dorcel) - LIcensing - Emailed\RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,1979_media,1979 Media (Dorcel),,xlsx_1979_dorcel,primary_source,yes,reviewed,Use the actual period label in the workbook. The worksheet name understates the period.,081b767da937df37fdbd232a12f712c8cfc6641a54fd068bd4c2a4ec92bb0b05,1979_media_releve_vod_2026_q1_new_media_group_081b767d,ready,passed,1979_media_releve_vod_2026_q1_new_media_group_081b767d_posting_2,ready,1979 Media (Dorcel),EENT Inc.,234.27,EUR,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,exact_row_match,120,17945,1979 Media (Dorcel),EENT Inc.,234.27,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,0.000000,26,17945,1979 Media (Dorcel),EENT Inc.,Various titles Q1 2026,234.27,0.000000,1979 Media (Dorcel),EENT Inc.,Various titles Q1 2026,"Parser row matches Airtable row by amount, customer, studio, vertical, and period."
Accounting Project\Sample Reports\1979 Media (Dorcel) - LIcensing - Emailed\RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,1979_media,1979 Media (Dorcel),,xlsx_1979_dorcel,primary_source,yes,reviewed,Use the actual period label in the workbook. The worksheet name understates the period.,081b767da937df37fdbd232a12f712c8cfc6641a54fd068bd4c2a4ec92bb0b05,1979_media_releve_vod_2026_q1_new_media_group_081b767d,ready,passed,1979_media_releve_vod_2026_q1_new_media_group_081b767d_posting_3,ready,1979 Media (Dorcel),AMA Multimedia LLC,615.31,EUR,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,exact_row_match,120,17946,1979 Media (Dorcel),AMA Multimedia LLC,615.31,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,0.000000,26,17946,1979 Media (Dorcel),AMA Multimedia LLC,Various titles Q1 2026,615.31,0.000000,1979 Media (Dorcel),AMA Multimedia LLC,Various titles Q1 2026,"Parser row matches Airtable row by amount, customer, studio, vertical, and period."
Accounting Project\Sample Reports\1979 Media (Dorcel) - LIcensing - Emailed\RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,1979_media,1979 Media (Dorcel),,xlsx_1979_dorcel,primary_source,yes,reviewed,Use the actual period label in the workbook. The worksheet name understates the period.,081b767da937df37fdbd232a12f712c8cfc6641a54fd068bd4c2a4ec92bb0b05,1979_media_releve_vod_2026_q1_new_media_group_081b767d,ready,passed,1979_media_releve_vod_2026_q1_new_media_group_081b767d_posting_4,ready,1979 Media (Dorcel),Industry Plan LLC:Edward James,7.68,EUR,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,exact_row_match,120,17947,1979 Media (Dorcel),Industry Plan LLC:Edward James,7.68,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,0.000000,26,17947,1979 Media (Dorcel),Industry Plan LLC:Edward James,Various titles Q1 2026,7.68,0.000000,1979 Media (Dorcel),Industry Plan LLC:Edward James,Various titles Q1 2026,"Parser row matches Airtable row by amount, customer, studio, vertical, and period."
Accounting Project\Sample Reports\1979 Media (Dorcel) - LIcensing - Emailed\RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,1979_media,1979 Media (Dorcel),,xlsx_1979_dorcel,primary_source,yes,reviewed,Use the actual period label in the workbook. The worksheet name understates the period.,081b767da937df37fdbd232a12f712c8cfc6641a54fd068bd4c2a4ec92bb0b05,1979_media_releve_vod_2026_q1_new_media_group_081b767d,ready,passed,1979_media_releve_vod_2026_q1_new_media_group_081b767d_posting_5,ready,1979 Media (Dorcel),LVL Media LLC:Fuck Champ Robinson,40.81,EUR,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,exact_row_match,120,17948,1979 Media (Dorcel),LVL Media LLC:Fuck Champ Robinson,40.81,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,0.000000,26,17948,1979 Media (Dorcel),LVL Media LLC:Fuck Champ Robinson,Various titles Q1 2026,40.81,0.000000,1979 Media (Dorcel),LVL Media LLC:Fuck Champ Robinson,Various titles Q1 2026,"Parser row matches Airtable row by amount, customer, studio, vertical, and period."
Accounting Project\Sample Reports\1979 Media (Dorcel) - LIcensing - Emailed\RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,1979_media,1979 Media (Dorcel),,xlsx_1979_dorcel,primary_source,yes,reviewed,Use the actual period label in the workbook. The worksheet name understates the period.,081b767da937df37fdbd232a12f712c8cfc6641a54fd068bd4c2a4ec92bb0b05,1979_media_releve_vod_2026_q1_new_media_group_081b767d,ready,passed,1979_media_releve_vod_2026_q1_new_media_group_081b767d_posting_6,ready,1979 Media (Dorcel),SARJ LLC,17623.95,EUR,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,exact_row_match,120,17949,1979 Media (Dorcel),SARJ LLC,17623.95,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,0.000000,26,17949,1979 Media (Dorcel),SARJ LLC,Various titles Q1 2026,17623.95,0.000000,1979 Media (Dorcel),SARJ LLC,Various titles Q1 2026,"Parser row matches Airtable row by amount, customer, studio, vertical, and period."
Accounting Project\Sample Reports\1979 Media (Dorcel) - LIcensing - Emailed\RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,1979_media,1979 Media (Dorcel),,xlsx_1979_dorcel,primary_source,yes,reviewed,Use the actual period label in the workbook. The worksheet name understates the period.,081b767da937df37fdbd232a12f712c8cfc6641a54fd068bd4c2a4ec92bb0b05,1979_media_releve_vod_2026_q1_new_media_group_081b767d,ready,passed,1979_media_releve_vod_2026_q1_new_media_group_081b767d_posting_7,ready,1979 Media (Dorcel),Davey Wavey Inc.:Himeros,266.67,EUR,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,exact_row_match,120,17950,1979 Media (Dorcel),Davey Wavey Inc.:Himeros,266.67,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,0.000000,26,17950,1979 Media (Dorcel),Davey Wavey Inc.:Himeros,Various titles Q1 2026,266.67,0.000000,1979 Media (Dorcel),Davey Wavey Inc.:Himeros,Various titles Q1 2026,"Parser row matches Airtable row by amount, customer, studio, vertical, and period."
Accounting Project\Sample Reports\1979 Media (Dorcel) - LIcensing - Emailed\RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,1979_media,1979 Media (Dorcel),,xlsx_1979_dorcel,primary_source,yes,reviewed,Use the actual period label in the workbook. The worksheet name understates the period.,081b767da937df37fdbd232a12f712c8cfc6641a54fd068bd4c2a4ec92bb0b05,1979_media_releve_vod_2026_q1_new_media_group_081b767d,ready,passed,1979_media_releve_vod_2026_q1_new_media_group_081b767d_posting_8,ready,1979 Media (Dorcel),Carnal Media LLC,285.74,EUR,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,exact_row_match,120,17951,1979 Media (Dorcel),Carnal Media LLC,285.74,Various titles Q1 2026,2026-04-30,2026-06-30,Licensing,0.000000,26,17951,1979 Media (Dorcel),Carnal Media LLC,Various titles Q1 2026,285.74,0.000000,1979 Media (Dorcel),Carnal Media LLC,Various titles Q1 2026,"Parser row matches Airtable row by amount, customer, studio, vertical, and period."
Accounting Project\Sample Reports\AERONA LLC _ ADE - VOD - Downloaded\April 2026\aecash_item_report.xlsx,aecash_item_report.xlsx,aerona,AERONA LLC,April 2026,xlsx_aerona_rollup,primary_source,yes,reviewed,Accounting source. Includes Unlimited revenue omitted from the four raw platform files.,03727cc30148bf4063f95e7aebdd4559e0d5bf88ce9e08797b999764550afa3a,aerona_april_2026_aecash_item_report_03727cc3,ready,warning,aerona_april_2026_aecash_item_report_03727cc3_posting_1,ready,AERONA LLC,1Kaylee LLC:5K Porn,58.46,USD,VOD April 2026,2026-04-30,2026-06-30,VOD,exact_row_match,120,17988,AERONA LLC,1Kaylee LLC:5K Porn,58.46,VOD April 2026,2026-04-30,2026-06-30,VOD,0.000000,36,17988,AERONA LLC,1Kaylee LLC:5K Porn,VOD April 2026,58.46,0.000000,AERONA LLC,1Kaylee LLC:5K Porn,VOD April 2026,"Parser row matches Airtable row by amount, customer, studio, vertical, and period."
Accounting Project\Sample Reports\AERONA LLC _ ADE - VOD - Downloaded\April 2026\aecash_item_report.xlsx,aecash_item_report.xlsx,aerona,AERONA LLC,April 2026,xlsx_aerona_rollup,primary_source,yes,reviewed,Accounting source. Includes Unlimited revenue omitted from the four raw platform files.,03727cc30148bf4063f95e7aebdd4559e0d5bf88ce9e08797b999764550afa3a,aerona_april_2026_aecash_item_report_03727cc3,ready,warning,aerona_april_2026_aecash_item_report_03727cc3_posting_2,review,AERONA LLC,NAMGA Member LLC:BAEB,121.07,USD,VOD April 2026,2026-04-30,2026-06-30,VOD,review_not_exportable,105,12254,AERONA LLC,NAMGA Member LLC:BAEB,121.06,VOD May 2024 - BAE,2024-05-31,2024-07-31,VOD,-0.010000,37,12254,AERONA LLC,NAMGA Member LLC:BAEB,VOD May 2024 - BAE,121.06,-0.010000,AERONA LLC,NAMGA Member LLC:BAEB,VOD May 2024 - BAE,Parser routed this report/posting to review; it should not export until approved.
