relative_path,workspace_path,file_name,extension,size_bytes,sha256,manifest_match,vendor_id,vendor,parser_family,processing_role,importance,authoritative,include_in_ingestion,status,automation_state,parser_strategy,expected_action,report_group_count,workbook_sheets,workbook_header_hints,notes
Sample Reports/1979 Media (Dorcel) - LIcensing - Emailed/RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,Accounting Project/Sample Reports/1979 Media (Dorcel) - LIcensing - Emailed/RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,RELEVE VOD 2026 Q1 - NEW MEDIA GROUP.xlsx,xlsx,408149,081b767da937df37fdbd232a12f712c8cfc6641a54fd068bd4c2a4ec92bb0b05,yes,1979_media,1979 Media (Dorcel),xlsx_1979_dorcel,primary_source,important,yes,yes,reviewed,ready_with_review,config_parser,parse_validate_store_and_export_if_reconciled,1,inspect_failed: XLSX.readFile is not a function,,Use the actual period label in the workbook. The worksheet name understates the period.
Sample Reports/AERONA LLC _ ADE - VOD - Downloaded/April 2026/aecash_item_report.xlsx,Accounting Project/Sample Reports/AERONA LLC _ ADE - VOD - Downloaded/April 2026/aecash_item_report.xlsx,aecash_item_report.xlsx,xlsx,414493,03727cc30148bf4063f95e7aebdd4559e0d5bf88ce9e08797b999764550afa3a,yes,aerona,AERONA LLC,xlsx_aerona_rollup,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,1,inspect_failed: XLSX.readFile is not a function,,Accounting source. Includes Unlimited revenue omitted from the four raw platform files.
Sample Reports/AERONA LLC _ ADE - VOD - Downloaded/April 2026/BAEB.xlsx,Accounting Project/Sample Reports/AERONA LLC _ ADE - VOD - Downloaded/April 2026/BAEB.xlsx,BAEB.xlsx,xlsx,15636,156fd4271f72735cc4cab34de88ac6f6b731178a6b4dea470acfaae596385429,yes,aerona,AERONA LLC,xlsx_aerona_raw_platform,supporting_transaction_detail,important,no,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,Raw platform detail. Incomplete for period totals because Unlimited revenue is absent.
Sample Reports/AERONA LLC _ ADE - VOD - Downloaded/April 2026/Carnal Network.xlsx,Accounting Project/Sample Reports/AERONA LLC _ ADE - VOD - Downloaded/April 2026/Carnal Network.xlsx,Carnal Network.xlsx,xlsx,124846,c108035d8b74b689d6620df15be93d4b66bb0959bdd2eca33f78a024938a1a02,yes,aerona,AERONA LLC,xlsx_aerona_raw_platform,supporting_transaction_detail,important,no,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,Raw platform detail. Incomplete for period totals because Unlimited revenue is absent.
Sample Reports/AERONA LLC _ ADE - VOD - Downloaded/April 2026/Jay Rock Productions.xlsx,Accounting Project/Sample Reports/AERONA LLC _ ADE - VOD - Downloaded/April 2026/Jay Rock Productions.xlsx,Jay Rock Productions.xlsx,xlsx,18864,1416f14299c27574699c1369414360d21bf9788a1956465782b242f94509b963,yes,aerona,AERONA LLC,xlsx_aerona_raw_platform,supporting_transaction_detail,important,no,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,Raw platform detail. Incomplete for period totals because Unlimited revenue is absent.
Sample Reports/AERONA LLC _ ADE - VOD - Downloaded/April 2026/TRUE X.xlsx,Accounting Project/Sample Reports/AERONA LLC _ ADE - VOD - Downloaded/April 2026/TRUE X.xlsx,TRUE X.xlsx,xlsx,115676,c7dd2155b0593558a2ec436c400d16c64e06b0ce6771a4cafdebc959a98c79ee,yes,aerona,AERONA LLC,xlsx_aerona_raw_platform,supporting_transaction_detail,important,no,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,0,inspect_failed: XLSX.readFile is not a function,,Raw platform detail. Incomplete for period totals because Unlimited revenue is absent.
Sample Reports/All Media Group (AMG) - Licensing - Emailed/April 2026/NMG_Payout Report 05062026.xlsx,Accounting Project/Sample Reports/All Media Group (AMG) - Licensing - Emailed/April 2026/NMG_Payout Report 05062026.xlsx,NMG_Payout Report 05062026.xlsx,xlsx,63717,0d42d4ac0d3d084d5cb4b79e8b544603089b3356ec8bf51435979c1527dc092b,yes,amg,All Media Group (AMG),xlsx_amg_mixed,primary_source,important,yes,yes,review_required,review_gate,custom_parser,parse_validate_store_and_export_if_reconciled,1,inspect_failed: XLSX.readFile is not a function,,Yellow flat fee rows are manual and must not be included in automated revenue share postings.
Sample Reports/AV Entertainment-Optical Extreme - VOD - Emailed/April 2026/2026-04_NMG.xlsx,Accounting Project/Sample Reports/AV Entertainment-Optical Extreme - VOD - Emailed/April 2026/2026-04_NMG.xlsx,2026-04_NMG.xlsx,xlsx,28614,1fe932291b0a38abfe8f6985804a64c06d5259fb963143c2bb846688e769bff4,yes,av_entertainment,AV Entertainment/Optical Xtreme,xlsx_av_royalty_header,primary_source,important,yes,yes,reviewed,ready,config_parser,parse_validate_store_and_export_if_reconciled,1,inspect_failed: XLSX.readFile is not a function,,
Sample Reports/Dream Logistics BV - VOD - Emailed/March 2026/NMG-DL-2026-04A.pdf,Accounting Project/Sample Reports/Dream Logistics BV - VOD - Emailed/March 2026/NMG-DL-2026-04A.pdf,NMG-DL-2026-04A.pdf,pdf,25027,924e54a7a9a4d4ec4b022d920fe415b0788bcf239e78d5cb021b7569ba2394f3,yes,dream_logistics,Dream Logistics BV,pdf_invoice_lines,primary_source,important,yes,yes,reviewed,ready_with_review,document_or_image_review_gate,extract_candidates_then_human_review,1,,,
Sample Reports/Dusk T.V.-2GrapesMedia B.V. - Licensing - Emailed/April 2026/Playlist NAT & INT April 2026 NMG.pdf,Accounting Project/Sample Reports/Dusk T.V.-2GrapesMedia B.V. - Licensing - Emailed/April 2026/Playlist NAT & INT April 2026 NMG.pdf,Playlist NAT & INT April 2026 NMG.pdf,pdf,183963,9a071f4fa625ec8d5d7fdb34cb30a949589af7cf46fdd8e3a626349a517e49ec,yes,dusk,Dusk TV / 2GrapesMedia B.V.,pdf_verification_copy,verification_copy,supporting,no,yes,reviewed,ready,verification_only,link_to_primary_report_as_verification,0,,,Paired PDF used to verify the spreadsheet total.
