parser_family,vendor_id,vendor,sample_file_count,extensions,roles,automation_state,parser_strategy,implementation_status,authoritative_amount_rule,validations,posting_policy,report_groups,material_issues,next_parser_work
docx_sonifi_statement,sonifi,Sonifi Solutions,1,docx,primary_source,source_ready_allocation_blocked,document_or_image_review_gate,not_implemented_review_gate,Royalty vendor amount on DOCX statement,title sales and royalties sum to grand totals,do not create studio postings until allocation policy and workbook formulas are approved,sonifi_source_2026_04,Studio payment policy is unresolved. | A002: Cell P24 uses O11 instead of O24.,Do not build parser until missing source or accounting policy is resolved.
none,level5,Level5 Media GmbH,1,png,unrelated_misfiled_image,ready_with_review,review_gate,not_implemented_review_gate,studio totals and total net,component lines equal each studio total; studio totals equal total net,one posting per studio,,A016: The image is a 2025 payment screenshot unrelated to the supplied 2026 credit note.,Build review_gate using source headers and validation rules from vendor_mapping_config.json.
pdf_adulttime_scene,gamma_adult_time,Gamma Broadcast Group Inc. Adult Time,2,pdf,primary_source,ready_with_review,document_or_image_review_gate,not_implemented_review_gate,sum Revshare grand totals across both reports,scene sum equals each report grand total; two report totals equal bundle total,aggregate bundle amount by Team Skeet mapping,gamma_adult_time_apr_2026,,Add text/table extraction and force review until source totals reconcile.
pdf_hpg_verification,hpg,HPG Production,83,pdf,verification_copy,ready,verification_only,verification_only_needed,"Canal O, Netgem T, Proximus dynamic final Revenue column",line sums equal xlsx total; paired PDF total matches when present,one posting per studio report or approved aggregate,,A011: The spreadsheet exists but its paired PDF is missing.,Add text/table extraction and force review until source totals reconcile.
pdf_invoice_lines,dream_logistics,Dream Logistics BV,1,pdf,primary_source,ready_with_review,document_or_image_review_gate,not_implemented_review_gate,subtotal minus adjustments,line totals plus adjustments equal final amount,one posting per studio line,dream_q1_2026,,Add text/table extraction and force review until source totals reconcile.
pdf_level5_credit_note,level5,Level5 Media GmbH,1,pdf,primary_source,ready_with_review,document_or_image_review_gate,not_implemented_review_gate,studio totals and total net,component lines equal each studio total; studio totals equal total net,one posting per studio,level5_multi_period_2026,MA.png is unrelated and excluded. | A016: The image is a 2025 payment screenshot unrelated to the supplied 2026 credit note.,Add text/table extraction and force review until source totals reconcile.
pdf_payment_narrative,erigo,Erigo / Load,1,pdf,primary_source,review_gate,document_or_image_review_gate,not_implemented_review_gate,explicit TOTAL USD PAYMENT,USD amount equals GBP amount times exchange rate within source rounding; currency labels consistent,split named sections by studio and require human approval,erigo_feb_2026,One line has a malformed GBP label. | A009: The narrative includes a malformed line that labels 461.85 as GBP before also stating 461.85 USD.,Add text/table extraction and force review until source totals reconcile.
pdf_verification_copy,dusk,Dusk TV / 2GrapesMedia B.V.,2,pdf,verification_copy,ready,verification_only,verification_only_needed,footer total from Payout NL plus Payout INT plus optional VOD total,title rows reconcile to footer; PDF total matches xlsx,aggregate preassigned titles by canonical studio,,,Add text/table extraction and force review until source totals reconcile.
png_aebn_dashboard,aebn,WMM Holdings LLC (AEBN),2,png,declared_total_verification,ready_with_reconciliation,verification_only,verification_only_needed,"line Total for allocations, portal payout for declared payable",line Total sum versus portal declared total; component rounding difference recorded,aggregate line Total by canonical studio and handle declared difference explicitly,,"A007: Workbook line totals equal 7097.60 USD, while the portal screenshot states 7097.61 USD. | A008: Displayed PPM, Rental, and Download components sum 0.46 USD above the Total column due to row rounding.",Build verification_only using source headers and validation rules from vendor_mapping_config.json.
xlsx_1979_dorcel,1979_media,1979 Media (Dorcel),1,xlsx,primary_source,ready_with_review,config_parser,implemented_deterministic,"TOTAL H.T. on summary, with title detail from Reversement distributeur",detail sum to section summary; section summaries plus adjustment equal TOTAL H.T.,aggregate title lines by approved canonical studio,1979_q1_2026,"Worksheet name says January to February, while the period cell says January to March. | A013: The worksheet name says January to February, while the report period cell says January to March.","Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_aebn_title,aebn,WMM Holdings LLC (AEBN),2,xlsx,primary_source,ready_with_reconciliation,config_parser,implemented_deterministic,"line Total for allocations, portal payout for declared payable",line Total sum versus portal declared total; component rounding difference recorded,aggregate line Total by canonical studio and handle declared difference explicitly,aebn_apr_2026,"One cent portal difference and 0.46 component rounding difference. | A007: Workbook line totals equal 7097.60 USD, while the portal screenshot states 7097.61 USD. | A008: Displayed PPM, Rental, and Download components sum 0.46 USD above the Total column due to row rounding.","Keep covered by npm run test:parsers; review-gated outputs usually indicate lookup/policy gaps, not parse errors."
xlsx_aerona_raw_platform,aerona,AERONA LLC,4,xlsx,supporting_transaction_detail,ready,config_parser,not_implemented_review_gate,Total column in aecash_item_report.xlsx,component sum equals Total; raw file difference equals Unlimited where raw files are present,aggregate rollup lines by canonical studio,,A004: Raw files omit Unlimited revenue.,Build config_parser using source headers and validation rules from vendor_mapping_config.json.
