report_group_id,vendor,period,parser_family,source_format,automation_state,implementation_status,should_extract,posting_policy,expected_posting_total,target_match_status,target_candidate_count,target_candidate_sum,target_grouped_diff,closest_target_amount,closest_target_memo,closest_target_studio,closest_amount_diff,notes
1979_q1_2026,1979 Media (Dorcel),2026 Q1,xlsx_1979_dorcel,xlsx,ready_with_review,implemented_deterministic,TOTAL H.T. plus studio detail from Reversement distributeur,Use the period cell and keep the Q4 2025 delta as a separate adjustment.,20698.68 across studio postings,period_sum_match,8,20698.680000,0.000000,17623.95,Various titles Q1 2026,SARJ LLC,3074.730000,"Worksheet name says January to February, while the period cell says January to March."
aerona_apr_2026,AERONA LLC,2026-04,xlsx_aerona_rollup,xlsx,ready,implemented_deterministic,rollup Total column,Use the rollup. Keep raw files only for store detail and audit evidence.,81318.52 across studio postings,customer_period_candidates,195,404217.970000,322899.450000,22369.16,VOD April 2024,AMA Multimedia LLC,58949.360000,Raw files omit 570.6537 USD of Unlimited revenue in the four sampled platforms.
amg_apr_2026,All Media Group (AMG),2026-04,xlsx_amg_mixed,xlsx,review_gate,implemented_deterministic,Payout on nonhighlighted revenue share rows,Split automated revenue share and manual flat fee queues.,"568.2375 automated, remaining highlighted rows manual",customer_period_candidates,107,14043.380000,13475.142500,570.87,Various titles April 2023 - Benelux,AMA Multimedia LLC,2.632500,The workbook total includes yellow flat fee rows marked for manual handling.
av_apr_2026,AV Entertainment/Optical Xtreme,2026-04,xlsx_av_royalty_header,xlsx,ready,implemented_deterministic,header 35 percent royalty,Apply 35 percent and reconcile to the header.,907.45,customer_period_candidates,101,5299.840000,4392.390000,535.12,VOD April 2021,AMA Multimedia LLC,372.330000,"Line Total is gross, not payable."
dream_q1_2026,Dream Logistics BV,2026 Q1,pdf_invoice_lines,pdf,ready_with_review,not_implemented_review_gate,invoice subtotal minus adjustments,Parse four invoice lines and validate subtotal.,1417.50 across four studio postings,no_customer_period_match,0,,,,,,,
dusk_apr_2026,Dusk TV / 2GrapesMedia B.V.,2026-04,xlsx_dusk_playlist,xlsx plus pdf,ready,implemented_deterministic,footer payout total,"Use title rows only, then validate against the footer and PDF.",173.11,customer_period_candidates,12,1589.590000,1416.480000,170.1,Various titles April 2023,AMA Multimedia LLC,3.010000,Top and bottom summary rows duplicate the same values.
erigo_feb_2026,Erigo / Load,2026-02,pdf_payment_narrative,pdf,review_gate,not_implemented_review_gate,TOTAL USD PAYMENT,Parse named totals and require currency review.,461.85,customer_period_candidates,15,18613.840000,18151.990000,493.96,DVD December 2023 - Paid out February 2024,SARJ LLC,32.110000,One line has a malformed GBP label.
erika_q1_2026,Erika Lust / Lust Productions,2026 Q1,xlsx_erika_summary,xlsx,ready_with_warning,implemented_deterministic,producer summary,Use producer summary for postings and mark detail incomplete.,13235.86 across producer postings,period_sum_match,7,13235.860000,0.000000,8971.98,Various titles Q1 2026,SARJ LLC:MetArt,4263.880000,Detail omits Viv Thomas by 143.516114333329 EUR.
gamma_licensing_jan_2026,Gamma Broadcast Group Inc. Licensing,2026-01 processed in April 2026,xlsx_gamma_running_balance,xlsx,ready_with_review,implemented_deterministic,highlighted running balance after wire fee,Store period income and cumulative payable separately.,1861.99,single_row_amount_match,42,128190.960000,126328.970000,1861.99,Various titles January 2026 - Paid out April 2026,EENT Inc.,0.000000,"Current period earned is 1507.082659 USD, which is not the payable."
gamma_adult_time_apr_2026,Gamma Broadcast Group Inc. Adult Time,2026-04,pdf_adulttime_scene,pdf,ready_with_review,not_implemented_review_gate,sum of both report grand totals,Parse scene Revshare and bundle both PDFs.,959.51,single_row_amount_match,21,71856.010000,70896.500000,959.51,VOD April 2026,Paper Street Media LLC,0.000000,
girlfriends_apr_2026,Girlfriends Films,2026-04,xlsx_girlfriends_quickbooks,xlsx monthly tab,ready,implemented_deterministic,65 percent profit share,"Use invoice lines or product totals, not both.",1322.26,customer_period_candidates,7,5759.190000,4436.930000,1252.55,DVD April 2024,SARJ LLC,69.710000,A014: Raw QuickBooks sales require a 65 percent profit share calculation.
girlfriends_may_2026,Girlfriends Films,2026-05,xlsx_girlfriends_quickbooks,xlsx monthly tab,ready,implemented_deterministic,65 percent profit share,"Use invoice lines or product totals, not both.",515.45,customer_period_candidates,7,4072.290000,3556.840000,411.75,DVD May 2021,New Destiny Internet Group LLC:Homegrown,103.700000,A014: Raw QuickBooks sales require a 65 percent profit share calculation.
hpg_2026_01_canal_orange,HPG Production,2026-01,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Canal Orange partner revenue column,Use xlsx as primary and PDF as optional verification.,658.82,customer_period_candidates,10,1182.610000,523.790000,267.32,Various titles January 2026,Steam Internet B.V.:MatureXXX,391.500000,
hpg_2026_01_netgem,HPG Production,2026-01,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Netgem partner revenue column,Use xlsx as primary and PDF as optional verification.,90.58,customer_period_candidates,10,1182.610000,1092.030000,92.92,Various titles January 2026,NuVision Media LLC:Pornstar Platinum,2.340000,
hpg_2026_01_proximus,HPG Production,2026-01,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Proximus partner revenue column,Use xlsx as primary and PDF as optional verification.,433.15,customer_period_candidates,10,1182.610000,749.460000,267.32,Various titles January 2026,Steam Internet B.V.:MatureXXX,165.830000,
hpg_2026_02_canal_orange,HPG Production,2026-02,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Canal Orange partner revenue column,Use xlsx as primary and PDF as optional verification.,459.90,customer_period_candidates,10,962.000000,502.100000,247.04,Various titles February 2026,Paper Street Media LLC,212.860000,
hpg_2026_02_netgem,HPG Production,2026-02,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Netgem partner revenue column,Use xlsx as primary and PDF as optional verification.,37.28,customer_period_candidates,10,962.000000,924.720000,29.71,Various titles February 2026,NuVision Media LLC:Pornstar Platinum,7.570000,One paired PDF is missing.
hpg_2026_02_proximus,HPG Production,2026-02,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Proximus partner revenue column,Use xlsx as primary and PDF as optional verification.,464.76,customer_period_candidates,10,962.000000,497.240000,247.04,Various titles February 2026,Paper Street Media LLC,217.720000,
hpg_2026_03_canal_orange,HPG Production,2026-03,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Canal Orange partner revenue column,Use xlsx as primary and PDF as optional verification.,664.08,customer_period_candidates,20,1840.960000,1176.880000,298.01,Various titles March 2026,Steam Internet B.V.:MatureXXX,366.070000,
hpg_2026_03_netgem,HPG Production,2026-03,xlsx_hpg_canal / xlsx_hpg_netgem / xlsx_hpg_proximus,xlsx with paired pdf where present,ready,,Netgem partner revenue column,Use xlsx as primary and PDF as optional verification.,287.52,customer_period_candidates,20,1840.960000,1553.440000,298.01,Various titles March 2026,Steam Internet B.V.:MatureXXX,10.490000,
